row_id,benchmark_key,benchmark,reviewed,corrected,main_findings
androidworld,androidworld,AndroidWorld,8,6,Corrected evaluator-only successes to Unknown when app-specific post-state was not retained; the sampled recipe task exposes two target-set false successes.
tau3_retail,tau3_retail,τ³,53,10,"Missing required transfers, reward/action mismatches, one native evidence gap, and stronger-only process/privacy gaps. Representative cases include T50, T26, T10, and T34."
appworld,appworld,AppWorld,15,12,Corrected 12 scorer/checklist false conflicts caused by supervisor.Task bookkeeping; retained three stronger-only Unknown records for missing final download-folder snapshots.
agentdojo,agentdojo,AgentDojo,14,0,Paired-arm evidence gaps and native/stronger proxy issues. Representative cases include banking B5/I5 and Slack S12/I5.
miniwob,miniwob,MiniWoB,36,20,"Corrected reward-zero unfinished runs, two native false successes, and stronger-only interaction shortcuts. Representative cases include find-greatest, copy-paste, and scroll-text."
